,Unnamed: 0,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout,IOP,Blood_Pressure,Temperature,Breath,SPO2,OPP
314,314,5.738,-73.61595154,-52.89015961,136.0849762,-0.004291229,-0.009176461,-0.191129252,0.032667603,-0.491051495,-0.006384659,-52.89015961,-0.379309326,0.045437012,2.063922405,140.5098419,0,13.154942849274011,114.16525920672714,36.42786185515723,16.171506201237868,98.04405887910845,101.01031635745314
315,315,5.756,-73.59545898,-53.18653488,136.0593414,-0.004118981,-0.009405558,-0.188995779,0.034012627,-0.535643816,-0.005295379,-53.18653488,-0.383110493,0.045347728,2.06393671,140.5603333,0,13.1494533707062,114.30879590091853,36.427600744413596,16.165445107344226,98.07014444548304,101.15934253021233
316,316,5.772,-73.57479858,-53.48278427,136.033371,-0.003945932,-0.009634739,-0.186862275,0.034042828,-0.535630107,-0.005294784,-53.48278427,-0.386869282,0.045259066,2.063959122,140.6104279,0,13.147781746539021,114.30875176392044,36.42733886185279,16.16633213976428,98.06976673151183,101.16097001738142
317,317,5.79,-73.55249786,-53.78669357,136.0046234,-0.003749017,-0.009837596,-0.184485197,0.035526127,-0.577495992,-0.004145825,-53.78669357,-0.390582681,0.045171339,2.063988686,140.6601563,0,13.142586192998621,114.4435689429953,36.42706467738709,16.160730511779068,98.09422954273161,101.30098274999668
318,318,5.807,-73.53001404,-54.09047318,135.9755402,-0.003551616,-0.010040544,-0.182108074,0.035558965,-0.577480376,-0.004145602,-54.09047318,-0.394248813,0.04508473,2.064025402,140.7096863,0,13.140979293774983,114.44351864594992,36.42678964684368,16.161607849752684,98.09385486681495,101.30253935217493
319,319,5.824,-73.50595093,-54.40148163,135.9437408,-0.003332427,-0.010216708,-0.179526776,0.037020575,-0.617251813,-0.002960664,-54.40148163,-0.397865206,0.044999558,2.064068794,140.7589417,0,13.136028058355224,114.57164158114848,36.426502850294625,16.156364640819913,98.11706946902775,101.43561352279326
320,320,5.841,-73.48169708,-54.71235275,135.9115601,-0.003113054,-0.010392969,-0.176945418,0.037055366,-0.617234766,-0.002960807,-54.71235275,-0.4014301,0.044916008,2.064118862,140.8079376,0,13.134489600178046,114.57158665409841,36.42621517355751,16.157232747089918,98.11669788897747,101.43709705392037
321,321,5.858,-73.48169708,-54.71235275,135.9115601,-0.003113054,-0.010392969,-0.176945418,0.037055366,-0.617234766,-0.002960807,-54.71235275,-0.4014301,0.044916008,2.064118862,140.8079376,0,13.134489600178046,114.57158665409841,36.42621517355751,16.157232747089918,98.11669788897747,101.43709705392037
322,322,5.875,-73.45602417,-55.02977753,135.8768921,-0.002874489,-0.010542405,-0.174202308,0.038702134,-0.653398752,-0.001737877,-55.02977753,-0.404941678,0.04483436,2.064175606,140.8567352,0,13.129913784584677,114.68813053642323,36.42591689338463,16.152571736571975,98.13776923105647,101.55821675183856
323,323,5.892,-73.43014526,-55.34705734,135.8418274,-0.002636021,-0.010691942,-0.171459138,0.038738161,-0.653380573,-0.00173836,-55.34705734,-0.408398569,0.044754811,2.064239025,140.905365,0,13.128445674815675,114.68807194178399,36.42561766081335,16.153433532154814,98.13739968483407,101.55962626696831
324,324,5.909,-73.4029541,-55.67031097,135.8043976,-0.002380772,-0.010814743,-0.168592721,0.040379964,-0.686508298,-0.000489897,-55.67031097,-0.411799282,0.044677619,2.06430769,140.9539032,0,13.124198792907594,114.79486613981551,36.42530866924127,16.1492613639764,98.15666695354905,101.67066734690792
325,325,5.926,-73.3755722,-55.99341202,135.7666016,-0.002125873,-0.010937648,-0.165726215,0.040416595,-0.686489344,-0.000490685,-55.99341202,-0.415142834,0.044602957,2.06438303,141.0023804,0,13.122802448473957,114.79480502803544,36.42499880564436,16.15012056571879,98.15629807759147,101.67200257956148
326,326,5.943,-73.34698486,-56.32189941,135.7265625,-0.001856508,-0.011034105,-0.162772715,0.042010289,-0.716533124,0.000776135,-56.32189941,-0.418428153,0.044531088,2.064463139,141.0508575,0,13.118889600905364,114.89168635474658,36.42468003157124,16.146439970259014,98.17373335386947,101.77279675384122
327,327,5.96,-73.31819916,-56.65023041,135.6861572,-0.001587721,-0.011130664,-0.159819126,0.042046983,-0.716513872,0.000775061,-56.65023041,-0.421654612,0.044462182,2.064548969,141.0993805,0,13.11756586632494,114.89162426459927,36.42436034941278,16.14730001130519,98.17336396682624,101.77405839827433
328,328,5.977,-73.31819916,-56.65023041,135.6861572,-0.001587721,-0.011130664,-0.159819126,0.042046983,-0.716513872,0.000775061,-56.65023041,-0.421654612,0.044462182,2.064548969,141.0993805,0,13.11756586632494,114.89162426459927,36.42436034941278,16.14730001130519,98.17336396682624,101.77405839827433
329,329,5.994,-73.28833008,-56.98336029,135.6436768,-0.00130666,-0.011201241,-0.156812549,0.043554883,-0.74345845,0.002053253,-56.98336029,-0.424821466,0.044396475,2.064640045,141.1480103,0,13.113988742229234,114.97853492311452,36.424032681541995,16.144109793013783,98.18895826561902,101.86454618088528
